idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
civ0016,workshop_civpro,civ0016,civ0016,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,16,"A bar prep company discovered that its copyrighted content was being used in an online simulated exam that its competitor was administering in a few days. The company filed a petition for an ex parte order to direct the competitor to immediately remove that content from its website. The company submitted an affidavit specifying why immediate and irreparable injury will result if the exam is administered, and offered to provide security for any costs or damages incurred by the competitor if it was determined that the order was wrongfully issued. Should the court issue the order?","Yes, because the company submitted an affidavit with specific facts showing immediate and irreparable injury.","Yes, because the competitor will receive notice of the order once it is issued by the court.","No, because a court cannot issue an injunction unless the adverse party has notice of the hearing.","No, because the company has not provided sufficient certification for obtaining an ex parte order.","A",,civ0016
civ0017,workshop_civpro,civ0017,civ0017,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,17,"Two citizens of State A were injured in State B when the taxi in which they were riding was in an accident. The two State A citizens intend to file tort claims against the taxi driver, a citizen of State B, in federal district court seeking over $100,000 each. May or must they assert their claims in federal district court in a single civil action?","They must assert their claims in a single action because their claims arise from the same accident.","They may assert their claims in a single action if they wish, or they may file separate actions.","They may not assert their claims in a single action because they are not asserting a single undivided interest.","They may not assert their claims in a single action because each plaintiff is seeking damages for his own discrete bodily injuries.","B",,civ0017
civ0018,workshop_civpro,civ0018,civ0018,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,18,"Three drivers were in a traffic accident in State A. The three drivers were citizens of State A, State B, and State C, respectively. Only the driver from State C sustained any injuries and damage. The driver from State C filed a tort action against the State A driver, seeking $100,000 in damages. The State A driver believes that he was not at fault in any way and that the driver from State B was the sole cause of the accident. Assume State A does not recognize any claim of contribution among joint tortfeasors. May the State A driver assert a third-party claim against the State B driver in the pending action, alleging that the State B driver was the party at fault and should pay for the State C driver’s injuries?","Yes, because third-party claims are permitted as long as they arise from the same transaction or occurrence as the original action.","Yes, because the State A driver’s third-party claim is derivative of the State C driver’s original claim.","Yes, provided the State A driver obtains leave of the court.","No, the State A driver may not maintain the third-party claim.","D",,civ0018
civ0019,workshop_civpro,civ0019,civ0019,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,19,"The plaintiff in a negligence case was injured in a car accident with the defendant. The plaintiff’s attorney retained a physician to examine the plaintiff and to testify regarding the plaintiff’s injuries. After the physician examined the plaintiff, the plaintiff’s attorney discussed the physician’s findings with the physician. The plaintiff’s attorney and the physician also discussed what the physician should include in the expert witness report that will be provided to the defendant. The defendant then conducted a deposition of the physician. During the deposition, the defendant’s attorney asked the physician to describe what was said in his conversations with the plaintiff’s attorney. The plaintiff’s attorney objected to those questions. Are the defendant’s questions regarding the plaintiff’s attorney’s discussions with the physician properly subject to discovery?","No, because the communications between the plaintiff’s attorney and the physician are protected from discovery under the work product doctrine.","No, because the communications between the plaintiff’s attorney and the physician are protected by the attorney-client privilege.","Yes, because the attorney does not represent the physician and therefore the communications between the plaintiff’s attorney and the physician are not privileged.","Yes, because the communications between the plaintiff’s attorney and the physician are relevant to determine the basis for opinions and statements in the physician’s expert report.","A",,civ0019
civ0020,workshop_civpro,civ0020,civ0020,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,20,"A former shareholder of a corporation filed an action against the corporation’s board of directors, alleging that the directors’ wrongful actions diminished the value of the corporation and its stock. The former shareholder served a request for production of documents that included a request for any documents relating to the value of the corporation. The corporation produced a number of documents, but withheld certain documents that were written by its attorneys, claiming that the documents were protected from discovery under the attorney-client privilege. Without contacting or conferring with the corporation or its lawyer, the former shareholder filed a motion to compel production of the withheld documents, claiming that they were not covered by the privilege. The court ruled that the documents were not privileged and had to be produced. What will be the likely result if the former shareholder seeks to recover costs or attorneys’ fees related to the motion or to have sanctions imposed on the corporation?","The shareholder may not recover costs or attorneys’ fees or have sanctions imposed.","The shareholder may recover the costs of asserting the motion to compel but may not recover any attorneys’ fees or have sanctions imposed.","The shareholder may recover the costs and attorneys’ fees incurred in asserting the motion to compel, but may not have sanctions imposed.","The shareholder may recover costs and attorneys’ fees incurred in asserting the motion to compel, and may have sanctions imposed.","B",,civ0020
civ0021,workshop_civpro,civ0021,civ0021,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,21,"The plaintiff and defendant in a negligence action filed in federal district court were in a two-car accident. The defendant’s attorney properly gave notice of and commenced a deposition of an eyewitness to the accident. Attorneys for both parties were present at the deposition. During the deposition, the defendant’s attorney asked the witness a leading question, and the plaintiff’s attorney did not object. At the time of trial, the eyewitness was out of the country. Therefore, the defendant’s attorney sought to read a portion of the witness’s deposition testimony into evidence at trial, including the leading question and the witness’s response to it. The plaintiff’s attorney objected at trial to the reading of the leading question and the witness’s response. Is the leading question and response properly admissible in evidence at trial?","No, because none of the deposition testimony is admissible in evidence under these circumstances.","No, because, while the deposition testimony is generally admissible under these circumstances, the court may exclude the leading question and answer on the basis of the plaintiff’s objection at trial.","Yes, because the deposition testimony is generally admissible under these circumstances, and the plaintiff waived any objection to the leading question because the plaintiff did not object to the question at the deposition.","Yes, because once a part of the deposition testimony is admissible under these circumstances, all of the deposition is admissible regardless of the plaintiff’s objection.","C",,civ0021
civ0022,workshop_civpro,civ0022,civ0022,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,22,"A hotelier entered into a contract with a merchant to have the merchant build and deliver custom furniture having a total cost of $1 million. The hotelier is a resident of State A and the merchant is a resident of State B. The merchant completed the furniture but the hotelier refused delivery, claiming that the furniture was not as the hotelier and merchant had agreed. The hotelier then filed an action against the merchant in federal district court, claiming breach of contract and seeking the return of a $100,000 deposit. The merchant filed an answer, denying liability and denying that it breached the contract. At the same time, the merchant filed and served a counterclaim asserting that the hotelier had breached the contract and seeking the $900,000 balance due. A week after being served with the merchant’s answer and counterclaim, the hotelier filed a voluntary dismissal of the action. Is the hotelier’s dismissal effective?","Yes, because the party that commenced an action may always terminate it.","Yes, because a plaintiff may voluntarily dismiss an action of right if the plaintiff does so within 21 days of the defendant filing an answer.","No, because, while the hotelier otherwise would have had the right to dismiss the action, the hotelier cannot voluntarily dismiss the action because of the merchant’s pending counterclaim.","No, because, after a defendant files an answer, an action may be dismissed only by a stipulation signed by all parties or by an order of the court.","C",,civ0022
civ0023,workshop_civpro,civ0023,civ0023,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,23,"An office furniture supplier filed a breach of contract action against a law firm in federal district court to recover the balance due on an account for furniture it supplied. The law firm filed a motion to dismiss the action on the ground that service of process was improper. Following a hearing, the court held that service was proper and sufficient. Two more months passed without the law firm filing an answer. The supplier then filed a motion to have the clerk of court make an entry of default, and the clerk did so. What procedure must the supplier follow to obtain a default judgment against the law firm?","File a motion to have the clerk of court enter the default judgment, and the clerk may do so without the law firm receiving any further notice of the motion.","File a motion to have the clerk of court enter the default judgment, and the clerk may do so as long as the law firm receives additional notice of the motion for default judgment.","File a motion to have the judge enter the default judgment, and the judge may do so without the law firm receiving any further notice of the motion for default judgment.","File a motion to have the judge enter the default judgment, and the judge may do so as long as the law firm receives additional notice of the motion for default judgment.","C",,civ0023
civ0024,workshop_civpro,civ0024,civ0024,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,24,"The owner of property bordering a river properly brought suit in federal court against a power company, alleging that the power company dumped radioactive waste water from one of its nuclear plants into the river, causing the property owner many health issues and resulting in the diminution of his property’s value. The suit sought damages and a preliminary injunction forbidding the power company from dumping any waste into the river. The power company was provided with notice of the hearing, to which it sent its lawyer. During the hearing, the power company claimed that it has complied with applicable state and federal environmental regulations, and stated that it will continue to comply with the regulations if the injunction is denied. The judge granted the preliminary injunction and set a date for a pretrial conference, as required by the Federal Rules of Civil Procedure. May the power company immediately appeal the judge’s granting of the preliminary injunction?","No, because the order is not final.","No, because the question has not been certified as one falling within the Interlocutory Appeals Act.","Yes, but only if the power company takes a default judgment, thereby making the judgment final.","Yes, because the order is immediately appealable as of right.","D",,civ0024
civ0025,workshop_civpro,civ0025,civ0025,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,25,"A plaintiff filed a single cause of action against a defendant on a claim based on products liability in state court. The plaintiff contends that a space heater that he was using during the winter short-circuited, causing a fire that burned down his house. In July, the plaintiff’s case against the defendant went to trial, and the jury determined that the fire was caused by faulty wiring in the plaintiff’s home. The following September, the plaintiff filed a breach of warranty action against the defendant in federal court, properly invoking the court’s diversity jurisdiction. The defendant, after properly being served with process, files an answer with an affirmative defense of claim preclusion as his first pleading or motion. The defendant, at an appropriate time, then files a motion for summary judgment based on the assertion of claim preclusion. How should the court rule on the defendant’s motion?","Deny the motion, because the application of claim preclusion is a factual issue for the jury to determine.","Deny the motion, because the plaintiff’s breach of warranty theory is not the same cause of action as the plaintiff’s products liability claim.","Grant the motion, because claim preclusion applies to bar the claim.","Grant the motion, because the defendant, by raising the issue in his first pleading or motion, did not waive the defense of claim preclusion.","C",,civ0025
civ0036,MBE-Civil-Procedure-Sample-Test-Questions,0,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,1,,"An entrepreneur from State A decided to sell hot sauce to the public, labeling it “Best Hot Sauce.” A company incorporated in State B and headquartered in State C sued the entrepreneur in federal court in State C. The complaint sought $50,000 in damages and alleged that the entrepreneur’s use of the name “Best Hot Sauce” infringed the company’s federal trademark. The entrepreneur filed an answer denying the allegations, and the parties began discovery. Six months later, the entrepreneur moved to dismiss for lack of subject-matter jurisdiction. Should the court grant the entrepreneur’s motion?","No, because the company’s claim arises under federal law.","No, because the entrepreneur waived the right to challenge subject-matter jurisdiction by not raising the issue initially by motion or in the answer.","Yes, because although the claim arises under federal law, the amount in controversy is not satisfied.","Yes, because although there is diversity, the amount in controversy is not satisfied.",A,"The claim asserts federal trademark infringement, and therefore it arises under federal law. Subject-matter jurisdiction is proper under 28 U.S.C. § 1331 as a general federal-question action. That statute requires no minimum amount in controversy.",civ0036
civ0032,MBE-Civil-Procedure-Sample-Test-Questions,1,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,2,,"An investor from State A filed an action against his State B stockbroker in federal court in State A. The summons and complaint were served at the stockbroker’s office in State B, where the process server handed the documents to the stockbroker’s administrative assistant. The stockbroker has answered the complaint, asserting the defense of improper service of process. Assume that both states’ requirements for service of process are identical to the requirements of the Federal Rules of Civil Procedure. Is the court likely to dismiss the action for improper service of process?","No, because service was made on a person of suitable age found at the stockbroker’s place of employment.","No, because the stockbroker waived her claim for improper service of process by asserting it in her answer.","Yes, because an individual defendant may not be served by delivering process to a third party found at the defendant’s place of employment.","Yes, because the process of State A courts is not effective in State B.",C,"Federal Rule 4(e)(2) provides that an individual defendant may be served by delivering a copy of the summons and complaint to an agent authorized by appointment or by law to receive service of process on behalf of the defendant. No facts suggest that the administrative assistant was a designated agent.",civ0032
civ0033,MBE-Civil-Procedure-Sample-Test-Questions,2,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,3,,"A truck driver from State A and a bus driver from State B were involved in a collision in State B that injured the truck driver. The truck driver filed a federal diversity action in State B based on negligence, seeking $100,000 in damages from the bus driver. What law of negligence should the court apply?","The court should apply the federal common law of negligence.","The court should apply the negligence law of State A, the truck driver’s state of citizenship.","The court should consider the negligence law of both State A and State B and apply the law that the court believes most appropriately governs negligence in this action.","The court should determine which state’s negligence law a state court in State B would apply and apply that law in this action.",D,"In Klaxon Co. v. Stentor Elec. Mfg. Co., 313 U.S. 487 (1941), the Court made clear that in a federal diversity action a court must look to the choice-of-law rules of the state in which it sits to determine which of two competing states’ laws should be applied to the action before it.",civ0033
civ0034,MBE-Civil-Procedure-Sample-Test-Questions,3,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,4,,"A patent holder brought a patent infringement action in federal court against a licensee of the patent. The patent holder believed that a jury would be more sympathetic to his claims than a judge, and asked his lawyer to obtain a jury trial. What should the lawyer do to secure the patent holder’s right to a jury trial?","File and serve a complaint that includes a jury trial demand.","File and serve a jury trial demand at the close of discovery.","File and serve a jury trial demand within 30 days after the close of the pleadings.","Make a jury trial demand at the initial pretrial conference.",A,"Federal Rule 38(b)(1) provides specifically that a jury trial demand may be included in a pleading. Including it in a properly filed and served complaint secures the right.",civ0034
civ0031,MBE-Civil-Procedure-Sample-Test-Questions,4,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,5,,"A consumer from State A filed a $100,000 products liability action in federal court against a manufacturer incorporated and with its principal place of business in State B. The consumer claimed that a flaw in the manufacturer’s product had resulted in severe injuries to the consumer. In its answer, the manufacturer asserted a third-party complaint against the product designer, also incorporated and with its principal place of business in State B. Believing that the consumer had sued the wrong defendant, the manufacturer claimed both that the designer was solely responsible for the flaw that had led to the consumer’s injuries and that the manufacturer was not at fault. The designer is aware that the manufacturer did not follow all of the designer’s specifications when making the product. Which of the following arguments is most likely to achieve the designer’s goal of dismissal of the third-party complaint?","The court does not have subject-matter jurisdiction over the third-party complaint, because both the manufacturer and the designer are citizens of State B.","The manufacturer failed to obtain the court’s leave to file the third-party complaint.","The manufacturer’s failure to follow the designer’s specifications caused the flaw that resulted in the consumer’s injuries.","The manufacturer’s third-party complaint failed to state a proper third-party claim.",D,"Under Federal Rule 14(a)(1), a defendant may serve a third-party claim only on a nonparty “who is or may be liable to it for all or part of the claim against it.”",civ0031
civ0026,MBE-Civil-Procedure-Sample-Test-Questions,5,0,MBE-Civil-Procedure-Sample-Test-Questions.pdf,Civil Procedure,6,,"A wholesaler brought a federal diversity action against a large pharmaceutical company for breach of contract. During jury selection, one potential juror stated that five years earlier he had been an employee of the company and still owned several hundred shares of its stock. In response to questioning from the judge, the potential juror stated that he could fairly consider the evidence in the case. The wholesaler’s attorney has asked the judge to strike the potential juror for cause. Should the judge strike the potential juror for cause?","No, because the potential juror said that he could fairly consider the evidence in the case.","No, because the wholesaler’s attorney could use a peremptory challenge to strike the potential juror.","Yes, because other potential jurors still remain available for the jury panel.","Yes, because the potential juror is presumed to be biased because of his relationship to the company.",D,"Stock ownership, or having worked for or having a spouse who works or worked for one of the litigants, has been found to create a presumption of bias that merits striking a potential juror for cause.",civ0026
