idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
339,mbe,mbe_0339,prompt_0339,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,13,,"If Annie sues to recover the $250 re- ward, she will: CONTRACTS •",Succeed.,"Succeed, since a contract implied by law was formed.","Not succeed, because there was no bargained for exchange.","Not succeed. m CONTRACTS Questions 14 -15 are based on the following facts: Sam had always wanted a Honda motor- cycle. Keith, Sam's friend, had recently re- stored his 1973 Honda motorcycle. On Sep- tember 1, Sam approached Keith and prom- ised to pay Keith $2,500 on September 15 for Keith's Honda motorcycle. It was agreed that the motorcycle would be delivered on September 9th. The motorcycle was deliv- ered on September 9th as promised by Keith. On September 10th, Sam repudiated.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
340,mbe,mbe_0340,prompt_0340,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,14,,When will Keith have a cause of action against Sam?,Immediately.,September 10th.,On September 1 only.,"September 15, or after.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
341,mbe,mbe_0341,prompt_0341,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,15,,Keith's delivery of the motorcycle on September 9th is:,An express condition.,An implied condition.,A constructive condition prece- dent.,A concurrent condition.,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
342,mbe,mbe_0342,prompt_0342,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,16,,"Merry, a merchant who deals in special industrial engines, agrees to construct a special industrial engine grinder for Happy, another merchant. The cost to construct this special grinder is $50,000. Upon completion of the grinder, it was agreed that Merry was to ship the ma- chine to Happy. However, before the engine was completely finished, the warehouse containing the engine burned to the ground, completely de- stroying the engine. The fire was not the fault of anyone. Which is the most correct statement?",Happy's performance is excused.,Happy must pay damages.,Merry may collect from Happy the loss not covered by the in- surance.,Merry may sue for breach ofcon- tract.,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
343,mbe,mbe_0343,prompt_0343,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,17,,"Flint Stone Co., a major constructor, agreed to build a large enclosed shop- ping mall in Bedrock, for the Rubble Corporation. After long hours of delib- eration, the parties agreed on the price of 30 million dollars. The contract was signed on January 1. The completion of the new mall was set for May 1. As Flint started digging, it struck jelly- stone. Removing this jellystone would increase the cost by one-half million dollars. Other builders who made bids had been aware ofthe jellystone and had submitted much higher bids. The most probable outcome is:",Flint Stone Co. will be excused from performance.,Flint Stone and Rubble will split the increased costs.,The contract is void due to im- practicability.,"Flint Stone Co. will be bound to finish the work originally con- tracted for and will suffer the in- creased costs. CONTRACTS iii Questions 18 -19 are based on the following facts: Brent, a buyer, contracted with Selma, a seller, to buy 12 dozen roller blades for $1,200. Payment was due 20 days after de- livery. When the roller blades arrived they were found to be non-conforming. Brent re- jected the shipment of roller blades.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
344,mbe,mbe_0344,prompt_0344,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,18,,Brent still has the roller blades and is required to:,Send the roller blades back to Selma.,Sell the roller blades at a discount and give the proceeds to Selma.,Accept the roller blades and sue for breach of contract.,Hold the roller blades with rea- sonable care for disposition as Selma instructs.,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
345,mbe,mbe_0345,prompt_0345,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,19,,"In a general claim for damages, which would not be incidental damages?",An expected profit by the buyer of which the seller was aware at the time the contract was made.,Expenses incurred in inspecting non-conforming goods.,The cost of storing non-conform- ing goods. m CONTRACTS,A sales commission paid to ac- complish cover.,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
346,mbe,mbe_0346,prompt_0346,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,20,,Tess sees a demonstration of a new model curling iron that curls hair in 30 seconds. Tess is interested because she is a model and always has to do her hair in a hurry. The curling iron that Tess purchases takes 2 minutes to curl her hair. Is the curling iron's performance sufficient to create a cause of action for Tess?,"No, because she has no privity.","Yes, because there was a war- ranty of fitness for a particular purpose.","Yes, because there was an ex- press warranty.","None of the above. Questions 21 - 25 are based on the following facts: Girkin, the local City Councilman, owns a fast-food restaurant at 1st and Meridian. Because ofhis special position, he learns the Mayor and the Governor are making the fi- nal arrangements to move the state hockey team, the ""Knuckleheads,"" to City. The ten-acre proposed site is very close to 1st and Meridian. Various general contractors are submitting bids to construct the sports complex. Girkin spends a large amount of money",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
347,mbe,mbe_0347,prompt_0347,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,21,,"If SK Enterprises fails to perform, can Mayor sue GK, Inc.?","No, because Mayor had no do- native intent towards the SK En- terprises.","No, because Mayor would be a creditor beneficiary if she had advanced salary to GK, Inc.","Yes, because Mayor would be a creditor beneficiary.","Yes, because Mayor would have vested rights in the contract be- tween SK Enterprises and GK, Inc.",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
348,mbe,mbe_0348,prompt_0348,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,22,,"If Mayor sues GK, Inc., can GK, Inc. sue SK Enterprises?","No, Mayor cannot sue GK, Inc., as the general contractor is not responsible for the breach of sub- contractors.","Yes, since SK Enterprises, as the subcontractor, is the obligor.","Yes, if Mayor and GK, Inc. have a valid enforceable contract.","Yes, if GK, Inc. and SK Enter- prises had a valid enforceable contract.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
349,mbe,mbe_0349,prompt_0349,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,23,,"If SK Enterprises' negligence causes a fire, and there is a lack of adequate in- surance because ofMayor's negligence, can Girkin sue as a third party benefi- ciary?","Yes, if the negligence of the two tortfeasors are proven in court. CONTRACTS m","No, because Mayor is an offi- cious intermeddler.","No, Girkin did not have the right to receive any duty.","No, the agreement of Mayor and GK, Inc. can vitiate any vested rights Girkin had.",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
350,mbe,mbe_0350,prompt_0350,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,24,,SK Enterprises completes work accord- ing to the sub-contract. Mayor does not pay GK; so GK does not pay SK. SK Enterprises sues Mayor. What is the most likely outcome?,"Mayor's damages will be offset by any breach of GK, Inc.",Mayor's damages will be offset by any breach of SK Enterprises.,"SK Enterprises has suffered a ""legal"" detriment.","SK Enterprises is an incidental beneficiary to the Mayor/GK, Inc. agreement. m CONTRACTS",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
351,mbe,mbe_0351,prompt_0351,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,25,,"Mayor proposes that the business around the sports complex area be painted with a color scheme coordi- nated to that of the Knucklehead's uni- forms. Because this would mean that Girkin's restaurant would have to re- paint and change all of the food pack- aging, Girkin is opposed to the Mayor's renovation plan for the sports complex area. In a 6-to-1 decision, the city coun- cil votes in the Mayor's plan. Does Girkin have any rights due to the affir- mative nod he received at the party and the reliance upon it?","Yes, Girkin has suffered a bar- gained-for legal detriment.","Yes, Girkin has reasonably re- lied.","Yes, mayor should have known by Girkin's exclamation that he would rely.","No, the communication between the parties has not yet reached a point where vesting could occur in Girkin. Questions 26 - 28 are based on the following facts: Driver injured Ped in an auto accident. Ped hired Axel, an attorney, to represent him. Ped explained to Axel that he was poor and couldn't afford the needed medical treat- ment. Concerned for his client's health, Axel wrote into their contract that he would prom- ise to ""pay from any settlement with Driver, compensation to any physicians w",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
352,mbe,mbe_0352,prompt_0352,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,27,,"If Doctor brings an action against Axel based on the employment contract with Ped, Axel's best defense argument would be:",The Doctor did not change his position in reliance.,The anti-assignment clause is void.,Axel relied to his detriment on Ped's release.,The Doctor is an incidental ben- eficiary.,D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
353,mbe,mbe_0353,prompt_0353,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,28,,"If Doctor brings an action against Grease, Grease will most likely argue:",There is no evidence supporting that Doctor changed his position in reliance.,There is no evidence supporting a finding that Doctor was either a creditor or donee beneficiary of Grease's promise to Axel.,Grease only made a gratuitous promise.,Doctor is an unidentified benefi- ciary. CONTRACTS III,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
354,mbe,mbe_0354,prompt_0354,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,29,,"Toyco, a recently-established business which manufacture yo-yo's, entered into a written agreement to purchase all of its requirements of hard plastic for 2 years from Plasco. Toyco and Plasco agreed on a unit price and on delivery and payment terms. The agreement also stated that the parties promised not to assign the contract and that the first four months of payments due to Plasco by Toyco would be made to Credo, a credi- tor of Plasco. Plasco then makes an as- signment of the contract to Loanco for security on a loan. In regards to the non-assignment clause, which state- ment is correct:",The assignment is completely ineffective.,The non-assignment clause has no legal effect.,"Plasco's assignment is a breach ofcontract with Toyco, but there is still an effective transfer to Loanco.","It is void as against public policy. m CONTRACTS Questions 30 and 31 are based on the following facts: Martha owns a small interior decorating business. Because of the record recession, Martha finds herself in financial difficulty. In fact, Martha becomes $10,000 behind in payments to Design Factory, who supplies Martha with her materials. Martha stumbles into a great offer with Swingin Star to re- decorate her home. Martha enters into a con- tract with Swingin Star to redecorate her home and Sw",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
355,mbe,mbe_0355,prompt_0355,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,30,,Martha's contract with Swingin Star makes Design Factory:,An incidental beneficiary.,A creditor beneficiary.,A donee beneficiary.,An intended beneficiary.,D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
356,mbe,mbe_0356,prompt_0356,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,31,,"If Martha refuses to complete the work for Swingin Star and Design Factory sues Swingin Star for the amount due, Design Factory will most likely:","Lose, because Martha must pay.","Lose, because Design Factory is subject to the defense of the fail- ure of Martha's performance.","Win, because the rights were vested.","Win, because no defenses are applicable in this fact situation.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
357,mbe,mbe_0357,prompt_0357,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,32,,"Allegro was an unknown struggling songwriter. One evening at a Mozart concert, he meets and falls in love with Soprano. Soprano marvels at the talent hIm, pays the rent, ana COOKS anu cleans, so he can continue his musical work. Allegro is so grateful that he writes Soprano a beautiful song prom- ising to give her 20% of any future roy- alties he receives from his music. One day Allegro is humming a new tune walking down Broadway. Because he is not paying any attention, he is hit by a taxi and dies instantly. One week later, his estate enters into a contract with Blast Records and his song, titled ""To Soprano"", becomes a #2 hit. Also, it is selected as a movie theme for Madonna's new movie. Soprano brings a cause of action against Allegro's es- tate to recover her 20% of the royal- ties. What result will most likely hap- pen?",She will win because the assign- ment is enforceable.,She will win because her house-keeping constitutes valu- able consideration.,She will lose because future con- tract claims are not assignable.,"She will lose because Allegro made an illusory promise. Questions 33 - 35 are based on the following facts: The Van Gogh museum, located in Wyo- ming, was famous for its collection of rare silver spoons. The museum was very inter- ested in acquiring the spoon used by Henry lli:1l:l W lUI VV 11l~1Il:1, d WVllu-J.11DVvlCO.-al.-1, to acquire the spoon. Whistler has an incred- ible reputation with the museums locally as well as abroad. Fork, who owns the Henry VIn spoon, offers to sell it to Whis",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
358,mbe,mbe_0358,prompt_0358,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,33,,"Fork tenders the spoon to Van Gogh. She then requests payment of $50,000. Van Gogh refuses, stating that there is no obligation. Fork brings a breach of contract action. What will the most likely result be?",Fork will lose because the per- formance is too personal.,Fork will lose because there is no existing privity.,Fork will win because she paid valuable consideration for the assignment.,Fork will win because the duty was delegable. CONTRACTS III,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
359,mbe,mbe_0359,prompt_0359,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,34,,What if Fork had refused to sell the spoon to Van Gogh and the museum sues for breach of contract?,"The museum would win because the delegation ofduty resulted in a third-party beneficiary con- tract, giving museum a cause of action.",Van Gogh would win because Fork owns the spoon.,Van Gogh will lose because there is no privity of contract.,Van Gogh will lose because the cause of action is against Whis- tler.,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
360,mbe,mbe_0360,prompt_0360,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,35,,What if Fork refuses to sell the spoon to Van Gogh and Van Gogh sues Whis- tler for Breach of Contract?,Van Gogh will lose because he assigned the contract.,Van Gogh will lose because of the doctrine of impossibility.,Van Gogh will win because Whistler remains the guarantor for the performance of Fork.,Van Gogh will win because Whistler's duty was too personal to delegate. III CONTRACTS,D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
361,mbe,mbe_0361,prompt_0361,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,36,,"Chairco owned a commercial building, part of which it leased to Sportco. At the time the parties entered into the lease, Chairco also sold some locker room equipment (lockers and saunas) to Sportco. The bill of sale provided that: ""Seller does hereby sell, convey and transfer to Buyer any right, title and interest seller may have in goods. It is expressly understood and agreed seller shall not be obligated, liable or account- able for any warranties on the goods sold to buyer."" Unknown to Sportco, the equipment had been obtained from Franco, a pre- vious lessee who had been unsuccess- ful in operating his business. After Sportco purchased the equipment, Franco sued Chairco for title and pos- session of the equipment. Franco pre- vailed and repossessed the equipment from Sportco. Sportco now sues Chairco for the loss. Who prevails?","Sportco, because the warranty of title cannot be disclaimed.","Sportco, because Chairco did not specifically disclaim the war- ranty of title.","Chairco, because the language in the bill of sale effectively dis- claimed the implied warranty of title.","Chairco, provided the disclaimer of warranty was conspicuous.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
362,mbe,mbe_0362,prompt_0362,Flemings's Multistate Examination Workbook - Volume 1,Criminal Procedure,,37,,"Joe contacted Ed's Marina concerning the purchase of a motorboat. Joe indi- cated that he needed to use the boat at a water ski show at Marine World, and that the boat would be pulling 10 skiers at a time, at 35 miles per hour. Ed directed Joe to a used ""Starcraft"" boat with a 175 horsepower outboard motor. Ed stated, ""This baby has a lot of power and you'll be able to pull 20 skiers at 35 miles per hour if you de- cide to increase the size of your show."" When Joe tried to pull more than 5 ski- ers, the boat could not muster more than 15 miles per hour. In addition, one week later the motor blew up. Joe contacted Ed about the problems, and was refused a refund. Joe sues Ed for breach of con- tract. What result?",Joe wins because Ed made an express warranty to Joe.,"Joe wins because ofEd's implied warranty of merchantability, which accompanied the sale to Joe.",Joe will lose because he should have tried out the boat before his purchase.,"Joe will lose because the VCC does not apply to used goods. Questions 38 - 39 are based on the following facts: Bill's Boats (""Bill's""), a boat supply store, sent a purchase order to Marine Wholesal- ers (""Marine"") on July 7. Marine wholesales boat engines and parts. The purchase order stated, ""Please send immediately two Viking outboard motors at your current list price of $350 each."" Marine received the order on July 9. Since Marine only had one Viking motor in stock, it shipped one Viking mot",D,,,"4th ESCAPIST: Exigent, Search incident, Consent, Auto, Plain view, Inventory, Stop & frisk, Terry | Miranda = custody + interrogation.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
363,mbe,mbe_0363,prompt_0363,Flemings's Multistate Examination Workbook - Volume 1,Criminal Procedure,,38,,Was an enforceable contract formed upon Marine's shipment ofthe motors?,"Yes, because Marine's shipment constituted an acceptance.","Yes, because Marine acted in good faith in shipping the mo- tor.","No, since Marine could only ac- ceptBill's offer by a return prom- Ise.","No, because Marine's shipment of non-conforming goods was not an acceptance, but a counter-offer.",A,,,"4th ESCAPIST: Exigent, Search incident, Consent, Auto, Plain view, Inventory, Stop & frisk, Terry | Miranda = custody + interrogation.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
364,mbe,mbe_0364,prompt_0364,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,40,,"According to the facts, could Canco revoke the offer before October 1?","No, because Canco had given Grocer assurance that the offer would remain open.","No, because both parties are merchants.","Yes, because there was no con- sideration for keeping the offer open.","Yes, since Grocer relied to its detriment.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
365,mbe,mbe_0365,prompt_0365,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,41,,Grocer's fax on September 1 had the following effect:,It had no legal effect because the mode of acceptance was not the same as Canco's offer.,"It operates as a reflection of the offer and creates a counter-offer, since Grocer changed the terms.",A contract for 50 cases of com was formed.,"A contract for 50 cases of com was formed for delivery in Oc- tober and November. Questions 42 - 43 are based on the following facts: Shoe Heaven ordered 1000 pairs of children's shoes in specified sizes and styles from Cobbler Distributing. Delivery was requested on May 1, with payment to be due 30 days from delivery. Cobbler found it could only fill the order to the extent of 900 pairs. Without communicating with Shoe Heaven, Cobbler shipped the 900 pairs of shoes. On receipt of the shoes on A",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
366,mbe,mbe_0366,prompt_0366,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,42,,"Assuming that Cobbler is now suing Shoe Heaven for breach of contract, which ofthe following is the most likely outcome?",Judgment will be for Cobbler because he substantially per- formed.,"Judgment will be for Cobbler, but Shoe Heaven will be entitled to set off any damages attribut- able to the non-delivery of the 100 pairs of shoes.",Judgment will be for Shoe Heaven because Cobbler had not filled the order according to its specified terms.,"Judgment will be for Shoe Heaven, but only because a 10% deficiency in the amount deliv- ered would be considered a sub- stantial failure of performance. CONTRACTS iii",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
367,mbe,mbe_0367,prompt_0367,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,43,,"Assume for this question only, that Shoe Heaven accepted the shipment of 900 pairs of shoes and gave notice to Cob- bler that the shipment was incomplete. Upon receiving no reply, Shoe Heaven brought suit against Cobbler for dam- ages caused by Cobbler's failure to de- liver the remaining 100 pairs of shoes. Which of the following is the most likely outcome?",Shoe Heaven will recover dam- ages against Cobbler.,"Shoe Heaven will recover, but only if Cobbler's failure to de- liver the remaining 100 pairs of shoes could be considered a ma- terial breach.",Shoe Heaven will not recover because it waived Cobbler's breach by accepting the 900 pairs of shoes.,Shoe Heaven will not recover because Cobbler shipped the shoes it had. m CONTRACTS,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
368,mbe,mbe_0368,prompt_0368,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,44,,"Liz, owner of Fabco, and Sally, man- ager ofSilk Creations, had a phone con- versation, during which an agreement was reached that Sally would buy 500 yards of silk at $10 per yard from Liz. Liz then sent a signed letter to Sally to confIrm the transaction. The letter omit- ted the price term. A month later, Liz called to confirm the date of delivery, but was told by Sally that she did not need the order. Assuming that Liz sues Sally for a breach of contract, what is the most likely outcome?",There will be judgment for Sally because the written confirmation was not signed by the party to be charged.,There will be judgment for Sally because the confirmation was insufficient since the price was omitted.,There will be judgment for Sally because Liz did not verify the order with Sally within 10 days of sending the confirmation.,There will be judgment for Liz because both parties are mer- chants.,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
369,mbe,mbe_0369,prompt_0369,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,46,,"Smith, a commercial real estate broker, traveled quite frequently in order to consummate real estate sales. Late one night, while returning home to Califor- nia from a business trip, in which Smith had sold a $2.1 billion dollar commer- cial building, he left his brief case in the baggage claim area at the airport. The next morning, Smith realized that he had left his brief case at the airport. He phoned the airport to see if anyone had turned in his brief case, but the se- curity desk told Smith nobody had turned his brief case in to ""Lost and Found."" Smith, desperate to get his brief case back, since it had all the legal pa- pers from his $2.1 billion dollar sale, posted flyers all around the airport. The flyers stated: ""Lost - one black brief case, contains the name 'Smith.' Will pay $500.00 to anyone for its return. Call (213) 555-2645."" Early that evening, Ethel, who had just arrived to California, read the flyer posted in the arriving area while she was waiting, for some friends to pick her up. After an hour of waiting, she went to the baggage claim area to claim her lug- gage. Her friends were in the baggage area waiting her arrival. Ethel, retrieved all her bags and noticed the black brief case described on the flyer on the lug- gage carousel. She picked up the brief case, tore a lost flyer off the wall and left the airport with her friends. CONTRACTS iii A few days later, Smith realized that he had put those legal papers in his suit- case. Since he had found the papers and the brief case was worth less than $500.00, he decided that he did not need the return of the brief case. As Smith was on his way out the door to go to the airport to take down the posted fly- ers, Ethel called regarding the briefcase that she had found. She asked Smith, ""Did you lose a black brief case at the airport?"" Before anything else was said by Ethel, Smith replied, ""I thought I had left important legal papers in the brief case that I was working on, but I've found the papers."" He","Recover, because a contract was formed when she called Smith to return his brief case.","Recover, because Smith created a unilateral contract upon the posting of the flyers, and once Ethel performed, it became irre- vocable.","Not recover, because no contract was formed.","Not recover, unless she returns the brief case. &I CONTRACTS Questions 47 - 48 are based on the following facts: On September 1, X wrote a letter to Y, an acquaintance of his, stating, ""I'm in need of a truck for transportation for my business and will buy your 'YO' truck for $10,000, upon you bringing it to my office at 1313 Capitol Street in Anaheim, on or before Sep- tember 6."" On September 3, Y received the letter and immediately replied by mail, ""I accept your offer and promise to deliver t",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
370,mbe,mbe_0370,prompt_0370,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,47,,What legal effect did Y's letter have?,"The letter dated September 2, bound both parties to a bilateral contract because Y could accept by an act or a promise.","The letter dated September 2, bound both parties to a unilateral contract as soon as Y mailed the letter.","The letter had no legal effect, al- lowing X to revoke his offer.",The September 2nd letter would only be an acceptance had X re- ceived Y's letter.,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
